#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu May 30 19:48:58 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       datapath_map.ncd
#OUTPUT FILE:      datapath_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
R2,data_out<30>,IOB,IO_L15N_T2_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R3,data_out<21>,IOB,IO_L11P_T1_SRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
R4,,,GND,,,,,,,,,,,,
R5,,IOB33S,IO_L19N_T3_VREF_34,UNUSED,,34,,,,,,,,,
R6,,IOB33M,IO_L19P_T3_34,UNUSED,,34,,,,,,,,,
R7,,IOB33M,IO_L23P_T3_34,UNUSED,,34,,,,,,,,,
R8,,IOB33M,IO_L24P_T3_34,UNUSED,,34,,,,,,,,,
R9,,,VCCO_0,,,0,,,,,any******,,,,
R10,inst<6>,IOB,IO_25_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
R11,data_to_Cpu<15>,IOB,IO_0_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R12,data_to_Cpu<11>,IOB,IO_L5P_T0_D06_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R13,data_to_Cpu<8>,IOB,IO_L5N_T0_D07_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R14,,,GND,,,,,,,,,,,,
R15,ALU_ops<2>,IOB,IO_L13N_T2_MRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R16,data_to_Cpu<5>,IOB,IO_L15P_T2_DQS_RDWR_B_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R17,ALU_ops<0>,IOB,IO_L12N_T1_MRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R18,data_to_Cpu<12>,IOB,IO_L7P_T1_D09_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T1,,IOB33S,IO_L17N_T2_34,UNUSED,,34,,,,,,,,,
T2,,,VCCO_34,,,34,,,,,1.80,,,,
T3,data_out<22>,IOB,IO_L11N_T1_SRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T4,data_out<24>,IOB,IO_L12N_T1_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T5,data_out<23>,IOB,IO_L12P_T1_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
T6,,IOB33S,IO_L23N_T3_34,UNUSED,,34,,,,,,,,,
T7,,,GND,,,,,,,,,,,,
T8,,IOB33S,IO_L24N_T3_34,UNUSED,,34,,,,,,,,,
T9,inst<4>,IOB,IO_L24P_T3_A01_D17_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
T10,inst<5>,IOB,IO_L24N_T3_A00_D16_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
T11,data_to_Cpu<26>,IOB,IO_L19P_T3_A10_D26_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T12,,,VCCO_14,,,14,,,,,1.80,,,,
T13,inst<2>,IOB,IO_L23P_T3_A03_D19_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
T14,data_to_Cpu<3>,IOB,IO_L14P_T2_SRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T15,data_to_Cpu<0>,IOB,IO_L14N_T2_SRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T16,data_to_Cpu<2>,IOB,IO_L15N_T2_DQS_DOUT_CSO_B_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T17,,,GND,,,,,,,,,,,,
T18,data_to_Cpu<13>,IOB,IO_L7N_T1_D10_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U1,data_out<13>,IOB,IO_L7P_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U2,data_out<17>,IOB,IO_L9P_T1_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U3,data_out<16>,IOB,IO_L8N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U4,data_out<15>,IOB,IO_L8P_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U5,,,VCCO_34,,,34,,,,,1.80,,,,
U6,,IOB33S,IO_L22N_T3_34,UNUSED,,34,,,,,,,,,
U7,,IOB33M,IO_L22P_T3_34,UNUSED,,34,,,,,,,,,
U8,,IOB33,IO_25_34,UNUSED,,34,,,,,,,,,
U9,,IOB33M,IO_L21P_T3_DQS_34,UNUSED,,34,,,,,,,,,
U10,,,GND,,,,,,,,,,,,
U11,data_to_Cpu<27>,IOB,IO_L19N_T3_A09_D25_VREF_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U12,data_to_Cpu<28>,IOB,IO_L20P_T3_A08_D24_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U13,inst<3>,IOB,IO_L23N_T3_A02_D18_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
U14,inst<0>,IOB,IO_L22P_T3_A05_D21_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
U15,,,VCCO_14,,,14,,,,,1.80,,,,
U16,data_to_Cpu<24>,IOB,IO_L18P_T2_A12_D28_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U17,data_to_Cpu<22>,IOB,IO_L17P_T2_A14_D30_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U18,data_to_Cpu<6>,IOB,IO_L17N_T2_A13_D29_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V1,data_out<14>,IOB,IO_L7N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V2,data_out<18>,IOB,IO_L9N_T1_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V3,,,GND,,,,,,,,,,,,
V4,data_out<20>,IOB,IO_L10N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V5,data_out<19>,IOB,IO_L10P_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V6,,IOB33S,IO_L20N_T3_34,UNUSED,,34,,,,,,,,,
V7,,IOB33M,IO_L20P_T3_34,UNUSED,,34,,,,,,,,,
V8,,,VCCO_34,,,34,,,,,1.80,,,,
V9,,IOB33S,IO_L21N_T3_DQS_34,UNUSED,,34,,,,,,,,,
V10,data_to_Cpu<30>,IOB,IO_L21P_T3_DQS_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V11,data_to_Cpu<31>,IOB,IO_L21N_T3_DQS_A06_D22_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V12,data_to_Cpu<29>,IOB,IO_L20N_T3_A07_D23_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V13,,,GND,,,,,,,,,,,,
V14,inst<1>,IOB,IO_L22N_T3_A04_D20_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
V15,data_to_Cpu<20>,IOB,IO_L16P_T2_CSI_B_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V16,data_to_Cpu<4>,IOB,IO_L16N_T2_A15_D31_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V17,data_to_Cpu<25>,IOB,IO_L18N_T2_A11_D27_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V18,,,VCCO_14,,,14,,,,,1.80,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
